iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
SSD,South Sudan,2014,0.24048469835959718,3.37364847715736,,0.0337364847715736,,0.2067482135880236
MAC,"China, Macao SAR",2023,0.5464905796514259,75.3084184293413,,0.7530841842934131,,0.20659360464198717
HND,Honduras,1997,0.020754455965516172,22.4277452884418,0.028556985472295793,0.224277452884418,0.007802529506779621,0.20352299691890183
COM,Comoros,2007,-0.19542396278688123,0.803599788247752,-0.003944031592538089,0.008035997882477521,0.19147993119434314,0.20345996066935876
GNB,Guinea-Bissau,1981,-0.020694859942914867,18.1675281528339,-0.028573372444055778,0.181675281528339,0.00787851250114091,0.20237014147125387
TUN,Tunisia,1970,0.2445807619636433,4.6696317726705,0.03743659135978028,0.046696317726705,0.20714417060386303,0.1978844442369383
YEM,Yemen,2015,-0.4775866526388759,-27.9945462502541,-0.3541768688550766,-0.279945462502541,0.1234097837837993,0.1976411901363349
ARE,United Arab Emirates,1977,0.018230894034187983,21.4396994717898,0.026888149971094677,0.21439699471789803,0.008657255936906694,0.19616610068371004
KEN,Kenya,1971,0.02669693703235332,22.1738919255764,0.028399474521697776,0.221738919255764,0.0017025374893444578,0.19504198222341068
QAT,Qatar,2006,0.06813665857455398,26.17039955781,0.1598380319985413,0.26170399557810003,0.09170137342398732,0.19356733700354606
LBN,Lebanon,1991,0.30323447530439296,49.4473791849141,0.3378367816742127,0.494473791849141,0.03460230636981976,0.19123931654474802
TUN,Tunisia,1963,0.08360119294144575,-10.7339947141916,0.12071070419546093,-0.107339947141916,0.03710951125401518,0.19094114008336174
LBR,Liberia,2007,0.28232386568765566,9.53527536282282,-0.0014125695853008935,0.09535275362822819,0.28373643527295656,0.18697111205942746
IRQ,Iraq,2000,-0.018808583854090344,16.7961344439661,0.14493040764774712,0.16796134443966101,0.16373899150183746,0.18676992829375136
SSD,South Sudan,2015,0.0778468725564121,-10.7933646271143,,-0.107933646271143,,0.18578051882755509
BFA,Burkina Faso,1961,-0.14526458352399096,4.04392797754925,0.03342083196034906,0.0404392797754925,0.17868541548434003,0.18570386329948346
LSO,Lesotho,1971,-0.13361180067710698,5.11371769989597,-0.11964870783933357,0.0511371769989597,0.013963092837773416,0.18474897767606668
SYC,Seychelles,1966,-0.043808075479566,13.8965075360333,0.0,0.138965075360333,0.043808075479566,0.182773150839899
GMB,Gambia,1983,-0.07261427957126276,10.8832277675592,-0.06466503135344048,0.108832277675592,0.00794924821782228,0.18144655724685477
ZWE,Zimbabwe,1968,-0.1613245116658577,1.97013496821758,-0.016199731214108226,0.0197013496821758,0.14512478045174948,0.1810258613480335
GNQ,Equatorial Guinea,2001,0.45360741719887976,63.3798754250602,0.4941004764413517,0.633798754250602,0.04049305924247193,0.1801913370517222
QAT,Qatar,2008,-0.003417741824367937,17.6630346842674,0.09250315804111153,0.176630346842674,0.09592089986547947,0.18004808866704194
THA,Thailand,1970,0.29400300389327416,11.4079490662098,0.03466812894587612,0.11407949066209801,0.25933487494739804,0.17992351323117617
LSO,Lesotho,1979,-0.14385014807228025,2.89391877929322,-0.14198778898608833,0.0289391877929322,0.0018623590861919226,0.17278933586521245
SLE,Sierra Leone,2001,0.1078982348780384,-6.34545563328469,0.10770737929296903,-0.0634545563328469,0.00019085558506937161,0.1713527912108853
BWA,Botswana,1969,-0.019772317297758413,15.1234047289021,0.07639180816216928,0.151234047289021,0.0961641254599277,0.17100636458677942
SOM,Somalia,2013,-0.05971023193486502,10.9592986164311,,0.10959298616431101,,0.16930321809917603
BHR,Bahrain,1985,-0.2110014391925361,-4.75826853805708,-0.0410285136412174,-0.047582685380570804,0.1699729255513187,0.1634187538119653
SDN,Sudan,1987,-0.020089911331701238,14.2208845898774,0.001554001866734822,0.142208845898774,0.02164391319843606,0.16229875723047524
BFA,Burkina Faso,1972,0.1851840030749532,2.31149874156277,0.027509825414797184,0.023114987415627702,0.157674177660156,0.1620690156593255
HND,Honduras,1999,-0.04535915196129814,11.5758601448677,-0.03595999533949268,0.115758601448677,0.00939915662180546,0.16111775340997514
ZMB,Zambia,1966,0.1042561564907949,-5.57030980860466,-0.08264455782328906,-0.0557030980860466,0.18690071431408395,0.1599592545768415
ISR,Israel,1968,0.003153644906243258,16.2419517102616,0.12245494901712739,0.16241951710261598,0.11930130411088413,0.15926587219637273
MUS,Mauritius,1961,0.0696784287966441,22.8490949956661,0.1782946547219737,0.228490949956661,0.1086162259253296,0.1588125211600169
SWZ,Eswatini,1990,0.053523001210285415,21.0180005361393,0.05644629799255085,0.210180005361393,0.0029232967822654388,0.1566570041511076
KEN,Kenya,1972,0.014272719219924568,17.082429349983,0.015873349156290573,0.17082429349983,0.0016006299363660048,0.15655157427990543
SDN,Sudan,2012,-0.014530636645810446,-17.0046884048945,-0.2071373965500687,-0.17004688404894502,0.19260675990425824,0.15551624740313458
HND,Honduras,1980,-0.023900853926848598,13.0461742022835,-0.030014257808488765,0.130461742022835,0.006113403881640167,0.1543625959496836
SDN,Sudan,2023,-0.14163027201393774,-29.4332716274387,,-0.294332716274387,,0.15270244426044927
TCD,Chad,1985,0.06578576521480262,21.7927735303921,0.06599336915475362,0.217927735303921,0.00020760393995100657,0.1521419700891184
CMR,Cameroon,1986,-0.08412951094403809,6.77166308397663,0.0372100634830943,0.0677166308397663,0.12133957442713239,0.1518461417838044
